Load_name,Bus_name,Phase,P,Q
AGM37_417890312-L_B,1032271295,2,30,14.5
AGM37_417890312-L_C,1032271295,3,30,14.5
AGM38_417696876-L_A,1031428231,1,15,7.3
AGM38_417696876-L_B,1031428231,2,15,7.2
AGM38_417696876-L_C,1031428231,3,15,7.3
AGM42_417794179-L_B,1031710012,2,30,14.5
154C39_417796014-L_C,1031782968,3,15,3
AGM47_417795409-L_B,1031748677,2,30,6.1
AGM52_417751055-L_C,1031524079,3,15,3
AGM56_417751958-L_B,1031564752,2,15,3
AGM59_417796810-L_B,1031835774,2,22.5,4.6
AGM64_417796802-L_B,1031835720,2,22.5,4.6
RK403_417752170-L_A,1031574826,1,22.5,10.9
AGM69_417753206-L_B,1031629308,2,30,6.1
AGM72_417752670-L_B,1031599792,2,22.5,4.6
AGM74Q_417793344-L_C,1031682692,3,30,6.1
AGM78_417752001-L_C,1031322250,3,22.5,4.6
AGM81_417753593-L_C,1031632022,3,15,3
AGM83_417750649-L_C,1031512651,3,30,6.1
AGM87_417794039-L_C,1031709030,3,30,6.1
ABW98Q_417794280-L_A,1031249364,1,6,2.9
10D910_417890118-L_A,1031248917,1,60,29.1
10D910_417890118-L_B,1031248917,2,60,29.1
10D910_417890118-L_C,1031248917,3,60,29.1
HAS09_417831829-L_A,1032115264,1,60,29.1
HAS09_417831829-L_B,1032115264,2,60,29.1
HAS09_417831829-L_C,1032115264,3,60,29.1
HAS08_417829754-L_A,1031322820,1,60,29.1
HAS08_417829754-L_B,1031322820,2,60,29.1
HAS08_417829754-L_C,1031322820,3,60,29.1
5GR00_417831136-L_A,1032071766,1,60,12.2
AGL53Q_417795289-L_A,1031747840,1,45,21.9
AGL53Q_417795289-L_B,1031747840,2,45,21.7
AGL53Q_417795289-L_C,1031747840,3,45.1,21.9
13QJ61_417888717-L_A,1031249661,1,15,7.3
13QJ61_417888717-L_B,1031249661,2,15,7.3
13QJ61_417888717-L_C,1031249661,3,15,7.3
AGM11_417696705-L_A,1031323978,1,19.2,-1.4
AGM11_417696705-L_B,1031323978,2,10.8,15.9
15C198_417794092-L_A,1031709398,1,9,4.4
15C198_417794092-L_B,1031709398,2,9,4.4
15C198_417794092-L_C,1031709398,3,9,4.4
HC287_417889391-L_A,1032226202,1,60,29.1
B9A62_417753240-L_B,1031629546,2,9,4.4
RK972_417888912-L_A,1032179909,1,15,7.3
RK972_417888912-L_B,1032179909,2,15,7.3
RK972_417888912-L_C,1032179909,3,15,7.3
1FYF10_618267304-L_A,1528084327,1,60,29.1
1FYF10_618267304-L_B,1528084327,2,60,29.1
1FYF10_618267304-L_C,1528084327,3,60,29.1
AKZ40_417753436-L_C,1031630921,3,15,3
AKZ54_417751554-L_A,1031561925,1,15,7.2
AKZ54_417751554-L_B,1031561925,2,15,7.2
AKZ54_417751554-L_C,1031561925,3,15,7.3
AFL63Q_417697754-L_B,1031460138,2,12.8,-0.9
AFL63Q_417697754-L_C,1031460138,3,7.2,10.6
